date,goods_inflation
2020-08-02,122.3
2020-08-03,122.3
2020-08-04,122.3
2020-08-05,122.3
2020-08-06,122.3
2020-08-07,122.3
2020-08-08,122.3
2020-08-09,122.3
2020-08-10,122.3
2020-08-11,122.3
2020-08-12,122.3
2020-08-13,122.3
2020-08-14,122.3
2020-08-15,122.3
2020-08-16,122.3
2020-08-17,122.3
2020-08-18,122.3
2020-08-19,122.3
2020-08-20,122.3
2020-08-21,122.3
2020-08-22,122.3
2020-08-23,122.3
2020-08-24,122.3
2020-08-25,122.3
2020-08-26,122.3
2020-08-27,122.3
2020-08-28,122.3
2020-08-29,122.3
2020-08-30,122.3
2020-08-31,122.3
2020-09-01,122.2
2020-09-02,122.2
2020-09-03,122.2
2020-09-04,122.2
2020-09-05,122.2
2020-09-06,122.2
2020-09-07,122.2
2020-09-08,122.2
2020-09-09,122.2
2020-09-10,122.2
2020-09-11,122.2
2020-09-12,122.2
2020-09-13,122.2
2020-09-14,122.2
2020-09-15,122.2
2020-09-16,122.2
2020-09-17,122.2
2020-09-18,122.2
2020-09-19,122.2
2020-09-20,122.2
2020-09-21,122.2
2020-09-22,122.2
2020-09-23,122.2
2020-09-24,122.2
2020-09-25,122.2
2020-09-26,122.2
2020-09-27,122.2
2020-09-28,122.2
2020-09-29,122.2
2020-09-30,122.2
2020-10-01,122.9
2020-10-02,122.9
2020-10-03,122.9
2020-10-04,122.9
2020-10-05,122.9
2020-10-06,122.9
2020-10-07,122.9
2020-10-08,122.9
2020-10-09,122.9
2020-10-10,122.9
2020-10-11,122.9
2020-10-12,122.9
2020-10-13,122.9
2020-10-14,122.9
2020-10-15,122.9
2020-10-16,122.9
2020-10-17,122.9
2020-10-18,122.9
2020-10-19,122.9
2020-10-20,122.9
2020-10-21,122.9
2020-10-22,122.9
2020-10-23,122.9
2020-10-24,122.9
2020-10-25,122.9
2020-10-26,122.9
2020-10-27,122.9
2020-10-28,122.9
2020-10-29,122.9
2020-10-30,122.9
2020-10-31,122.9
2020-11-01,123.2
2020-11-02,123.2
2020-11-03,123.2
2020-11-04,123.2
2020-11-05,123.2
2020-11-06,123.2
2020-11-07,123.2
2020-11-08,123.2
2020-11-09,123.2
2020-11-10,123.2
2020-11-11,123.2
2020-11-12,123.2
2020-11-13,123.2
2020-11-14,123.2
2020-11-15,123.2
2020-11-16,123.2
2020-11-17,123.2
2020-11-18,123.2
2020-11-19,123.2
2020-11-20,123.2
2020-11-21,123.2
2020-11-22,123.2
2020-11-23,123.2
2020-11-24,123.2
2020-11-25,123.2
2020-11-26,123.2
2020-11-27,123.2
2020-11-28,123.2
2020-11-29,123.2
2020-11-30,123.2
2020-12-01,122.5
2020-12-02,122.5
2020-12-03,122.5
2020-12-04,122.5
2020-12-05,122.5
2020-12-06,122.5
2020-12-07,122.5
2020-12-08,122.5
2020-12-09,122.5
2020-12-10,122.5
2020-12-11,122.5
2020-12-12,122.5
2020-12-13,122.5
2020-12-14,122.5
2020-12-15,122.5
2020-12-16,122.5
2020-12-17,122.5
2020-12-18,122.5
2020-12-19,122.5
2020-12-20,122.5
2020-12-21,122.5
2020-12-22,122.5
2020-12-23,122.5
2020-12-24,122.5
2020-12-25,122.5
2020-12-26,122.5
2020-12-27,122.5
2020-12-28,122.5
2020-12-29,122.5
2020-12-30,122.5
2020-12-31,122.5
2021-01-01,123.8
2021-01-02,123.8
2021-01-03,123.8
2021-01-04,123.8
2021-01-05,123.8
2021-01-06,123.8
2021-01-07,123.8
2021-01-08,123.8
2021-01-09,123.8
2021-01-10,123.8
2021-01-11,123.8
2021-01-12,123.8
2021-01-13,123.8
2021-01-14,123.8
2021-01-15,123.8
2021-01-16,123.8
2021-01-17,123.8
2021-01-18,123.8
2021-01-19,123.8
2021-01-20,123.8
2021-01-21,123.8
2021-01-22,123.8
